Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
ASST FIRE MARSHALL-NON ROTATE,Poudre Fire Authority,Poudre Fire Authority,106491.75,203,d4375ab2491a8dbce69fe783d5aa552155cd7dad
POLICE OFFICER,Community and Special Services,Police Services,106480.50,204,ca98385a697c2e11168b6f6734abdcaf2106464a
POLICE OFFICER,Investigations,Police Services,106438.48,205,756ff243b010a6cb5151c979dc285db2056bc9ed
"MANAGER, APPS SOFTWARE DEV",Information Technology,Information & Employee Svcs,106312.91,206,25e7db854ab9f3051b4ef915c0359e9b81e432c6
"DIRECTOR, SCIENCES",Ut Water Quality Services Div,Utility Services,106239.40,207,e497094ae6325d620c0e0bbc3fcd6ffc10542cce
CIVIL ENGINEER III,Ut Distribution System Div,Utility Services,106223.69,208,c9a195df14ebb4887e65dfaaf71afff97be50f31
LINE EQPMNT CREW CHIEF-INACTIV,Electric Field Services,Utility Services,106077.82,209,c74cb06a5f57b72280b2029c16cad4af8715787e
"SR ANALYST, APPS SOFTWARE DEV",Information Technology,Information & Employee Svcs,105983.02,210,1f04cda45e699ee143f1d6a2c8c1b550bbace260
POLICE OFFICER,Patrol,Police Services,105509.39,211,0fb47b7362fb4b1da9bbb69b59ef60452d4564cd
"MANAGER, CITY PLANNING",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",105333.04,212,2e42feb908aec5e13e704ba170e64e6b206cec6b
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,105071.78,213,b5aacf6812bcd3ff1fcc1345a3839f004194bfea
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,104993.97,214,7050289a0942b337f2b6259ce8f25cece29473d2
POLICE OFFICER,Patrol,Police Services,104946.88,215,0d8eea7ac511e3dcf6e214d7d4c3126a93de1ce4
POLICE OFFICER,Patrol,Police Services,104915.81,216,a65529d2a4dc3c0a0f6f1f7094e459a5eaff71d9
COMMUNITY SAFETY SPEC-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,104759.16,217,8c0c136fc35307bb459d64496ad89122b0b2b9a6
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,104649.78,218,aff610804de01dfc463f1a0c4b04d83d7ef12775
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,104534.08,219,3052b7742f45fad77cd49766d7bc6a3eaa27871f
CITY CLERK,City Clerk's Office,Executive Services,104452.08,220,124ce98a1981c3e0657e9d35f9f268031381fc32
CAPTAIN II - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,104426.77,221,0b9beef6598281e18811697817bc21524469509a
ASSISTANT CITY ATTORNEY II,City Attorney's Office,Legal Services,104266.89,222,4620f005cf9ac15e9dbf8929053c95a746ef1ea3
LINE CREW CHIEF,Electric Field Services,Utility Services,104206.15,223,b25ff89109d90148ecf6e090926d2856e38e4aac
POLICE OFFICER,Investigations,Police Services,104078.08,224,b2c64d768fe9ca063fe588b7565a8ae249e4c068
"SR SUPERVISOR, SCIENCES",Ut Water Quality Services Div,Utility Services,103999.05,225,82628da3bc335241c8c2fdd2c5d7339597de1106
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103814.84,226,34707db94dec1fc2c8f23073aa8b182e8b92d228
POLICE OFFICER,Patrol,Police Services,103512.13,227,f81e4a6afda735458bdd4f73a948413fca373746
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103476.26,228,81e42fe0c725cf356da06653a54d59bfe9d73f72
"SR SUPERVISOR, MECHANICAL ENGR",Utilities Customer Connections,Utility Services,103452.72,229,0ceee808238fc5add6f7f6623277bbf3716295b0
CHIEF OF POLICE,Police Administration,Police Services,103399.68,230,bd53cdbadf06bee5e1cbbac735c5f98c535c9991
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103385.04,231,9c4875b527de35fb08bbc038017db8112b6cc5ae
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103357.07,232,ab8962adf8d994a33a1b3fdfbf2d3c5ad334b2f3
POLICE OFFICER,Patrol,Police Services,103333.55,233,47437525549c27729c8147d6921f47b9760f13dc
"MANAGER, CIVIL ENGINEERING",Streets,"Planning, Dev & Transportation",103202.28,234,f7c4fdf44263d598a44b6792866b43723b526645
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103135.87,235,297d6515d85cac3a5e8503d0bbcd79213f876eaf
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103118.08,236,a0d3b4e75bab8d1d25af6c71cff1cd1fb600c19c
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103036.05,237,b639f0ef910895463134f5f61698b027d2354745
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,103006.46,238,061ea9720eaf47fe0b6d8d0b789f910692ac8ce9
"SR MANAGER, TRAFFIC ENGR",Traffic,"Planning, Dev & Transportation",102928.76,239,1ff11ab42e477159d10b10cb07e15e1665f65c82
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,102738.06,240,815137ac8600381eb634de78969aaa04a3b5e268
POLICE OFFICER,Community and Special Services,Police Services,102735.34,241,003362bdc3b5b0d7810a936d892212ff4c708276
LINE CREW CHIEF,Electric Field Services,Utility Services,102650.56,242,68c50bfca3a926a1ec6591c77bb26368e09c477b
CIVIL ENGINEER III,Ut Water UTL Engineering Div,Utility Services,102463.25,243,9aa47a541cbb1a3fe2831fe30ce1a9f3ad2ecc9c
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,102450.50,244,86c21b20b2b8cd939bb212c173e4ec4a076c73b6
"CREW CHIEF, ELECTRIC DIST",Electric Field Services,Utility Services,102292.90,245,4bd1b2598cba83102db83d4a232e3cabf0baf15c
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,102273.52,246,c98884d44704867909a59d8f59c39e2968e2a543
POLICE OFFICER,Patrol,Police Services,102113.59,247,edea3695ce5ce8ff59ad5991de667386cf43a714
CIVIL ENGINEER III,Ut Water Systems Engr Div,Utility Services,102062.71,248,ca22355b11921b14ad0465f6cd2c0730a0e7fd04
CIVIL ENGINEER III,Ut Water UTL Engineering Div,Utility Services,102003.88,249,fe843ade1b3e9f345aed16c9657c79dabee86c23
"MANAGER, CLIENT SERVICES",Information Technology,Information & Employee Svcs,101906.47,250,142397f74e30a66e6c5592b7d9e7424b7853536f
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,101857.81,251,3d2cbbea1fceef20f686f94a5ab4f9244cb0331e
POLICE OFFICER,Patrol,Police Services,101848.21,252,2192ce7574852ad3251d6c46ddd654637b42d1de
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,101834.29,253,a5bc3215a075fe278dd654e2623db2962ba12683
POLICE CORPORAL,Patrol,Police Services,101796.61,254,a90eae37bc2e58c600df828b995c464adda8ebe5
"SR SUPERVISOR, SCIENCES",Ut Water Quality Services Div,Utility Services,101752.23,255,c00bff80fd6fb69cbda1e999c7dd479513fdf744
POLICE OFFICER,Community and Special Services,Police Services,101730.02,256,00dbd028968783879fefe448a06bdb6ce84eb9b3
"SR ENGINEER, NETWORK",Broadband,Utility Services,101585.29,257,0834c7251d5544d01233af3952478e904e15ceaa
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,101581.48,258,697bb3142a66f490c24a2ccb37bbbf8ebb866eda
CIVIL ENGINEER III,Ut Water UTL Engineering Div,Utility Services,101501.00,259,8b4146f4ae259f6c65dc3efb41579b82d98aec9d
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,101354.59,260,23096fb1f3434529ab62b5cdc92208957447c8cf
CIVIL ENGINEER III,Park Planning & Development,Community Services,101192.60,261,c8419bdcc62879a465a6236b913143e230758d6a
POLICE OFFICER,Patrol,Police Services,101188.98,262,a7ac350599bca93508544d3db71630dd1b5d0e6d
POLICE OFFICER,Investigations,Police Services,101140.71,263,69f121320dc384bd9eab114b588996aee9eff23c
"SR MANAGER, NATURAL AREAS",Natural Areas,Community Services,101050.19,264,5673d3a6ed1247ab80395f3e4b5c3679d1f26b88
POLICE CORPORAL,Patrol,Police Services,101028.45,265,d0a53359440f8935d12846d1ec87a0be057be8f1
LINE CREW CHIEF,Electric Field Services,Utility Services,101017.28,266,afb17813404ab8293e3cd25bd88bea80684d71cc
CIVIL ENGINEER III,Ut Water Systems Engr Div,Utility Services,100978.16,268,a5de5b568f0fa869a55e05f17cdca38a41dff9b0
POLICE OFFICER,Community and Special Services,Police Services,100946.70,269,fd996f8a0b2702e0b201c7b4db7a9a677bf0ca1a
POLICE OFFICER,Community and Special Services,Police Services,100945.63,270,0051d89e3d4e6f31af2ee8ac3a1457819b946a7f
CIVIL ENGINEER III,Ut Water UTL Engineering Div,Utility Services,100725.37,271,ae2f8b9bdf8cd30fb649049dc40d967a8a878b0c
CIVIL ENGINEER III,Ut Water Resources Div,Utility Services,100707.85,272,5bf019b2195784d5028a0f820ee55dc53f4062e8
POLICE CORPORAL,Patrol,Police Services,100653.42,273,6b100c2e87297d6f8eb5a0cffb9471494feb40b6
POLICE OFFICER,Patrol,Police Services,100612.15,274,6b6225ea2cd1660bdc0552402c9c2d610f7f9cc6
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,100579.73,275,9b893f69d2fd939deda4c45a4a374c6223896fcf
POLICE OFFICER,Police Administration,Police Services,100482.97,276,44a0e68f6cacd657f0d5d4829debc04cf5713b51
CIVIL ENGINEER III,Ut Water UTL Engineering Div,Utility Services,100482.75,277,0d8d9f50b79549eee1b063149eacd498a9055f00
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,100475.22,278,30d5dab7f1b8bb052cb2bf6e857f710d9bf25107
CIVIL ENGINEER III,Engineering,"Planning, Dev & Transportation",100393.23,279,43b25f9526837ea01684ff3f4e23be66e0eac48c
POLICE OFFICER,Patrol,Police Services,100353.66,280,8c3886188776d0ad25927a5be99a4d9768533a01
"SR ANALYST, APPS SOFTWARE",Information Technology,Information & Employee Svcs,100348.68,281,4bbf83673b645f421a1c178a7a87bf29982c964e
POLICE OFFICER,Investigations,Police Services,100120.74,282,ce0ada44fc2d6a6acf1a8a56a6b99bccd6c84665
POLICE OFFICER,Investigations,Police Services,100089.45,283,e81aa849735dec4c1d7e3862363b22cc30b78fd2
"SR ADMINISTRATOR, SYSTEMS",Ut Process & Supervis Cntr Div,Utility Services,100088.47,284,322aa505938f3269f08679d72acfddcc0409efb8
"MANAGER, SYSTEMS ENGINEERING",Information Technology,Information & Employee Svcs,100008.44,285,80547ded61dbfe08c3b305714f497c391bc57160
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,99858.38,286,7d218c54b3fd385e868d5f8f01265adddf965095
"MANAGER, PAYROLL",Accounting and Treasury,Financial Services,99799.81,287,9aa1d228e7ba997be5a79607ebba363c051f58c0
POLICE OFFICER,Investigations,Police Services,99797.39,288,6356a6be7d4895ba3fbcf0786e02853b89aaed7b
SR TECHNICAL PROJECT MANAGER,Ut Elec System Design & IT Div,Utility Services,99599.05,289,852ce2746a652d44bd1d777f5cf137d14e9ce2bd
POLICE CORPORAL,Patrol,Police Services,99590.07,290,cfc96d212877b528e1e6dc00cdd872c14d46c9e7
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,99482.73,291,552148d664bbf1fa0b661aa2a0ec7848db7e5772
POLICE OFFICER,Patrol,Police Services,99476.63,292,648324e31413653acc4257fc3c9d0cc185f3abbc
"SR ANALYST, APPS SOFTWARE",Information Technology,Information & Employee Svcs,99329.85,293,e211a98f54069b2fc02a265b7d8e23ad8a3476d3
FIRE INSPECT COORD - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,99237.73,294,a91c5232180fcbec07ce4f719e4fa6d6874da6e4
LINE CREW CHIEF,Electric Field Services,Utility Services,99194.79,295,b2214757b8ba7f5b2d8edebe044936178812b995
POLICE OFFICER,Patrol,Police Services,99161.54,296,18b39160efe8e1e9e353fd0cecbc29a955d2b107
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,99103.35,297,ed8aa8bb3821a637ebb5694f9484715447a16e8b
POLICE OFFICER,Investigations,Police Services,98955.82,298,fab20413ca2983d1332eacfb29537a8991435b48
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98945.21,299,278db660b5783e019fdea701d7377b37b6011ba2
ASSISTANT CITY ATTORNEY II,City Attorney's Office,Legal Services,98921.21,300,141bf2fa05d12adb82105ccf2f9526ad52033048
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98866.91,301,48c905602e12e149cd9c14e4d05848ca80109abb
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98847.35,302,c07502a4d5b472dd173c27d7fe719eb3fd40423c
POLICE OFFICER,Patrol,Police Services,98764.90,303,b8eb312d0a1043babd3a951166cd8b430a2b7581
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98759.78,304,b0b0fb2908180c8eab29be49d38d84bccefbbd79
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98754.94,305,1f4fe5aa159bcf041de7a42320cb65adb639b6e4
SR TECHNICAL PROJECT MANAGER,Ut Electric Systems Eng Div,Utility Services,98595.18,306,17b0fbd367ff837bbace43c9c76f6409bc5f3549
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,98562.30,307,dbeac037aaa777ef96c6b3e98b368038cd10874e
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98552.52,308,2f4e16126a9d518f9c2638ccab9b35ef23088c11
"SR SUPERVISOR, EMERGENCY COMMS",Police Information Services,Police Services,98547.01,309,7e3c4954c96e77f70940fcc5526adb724a828020
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98389.12,310,d94ebb1a0189fc673a97bef84f2f500498c14c08
"MANAGER, TRAFFIC ENGINEERING",Traffic,"Planning, Dev & Transportation",98372.79,311,f10d4af51528c2328425b4b1235a3801e8ce052d
POLICE OFFICER,Police Administration,Police Services,98305.55,312,c9f3c99e1ce58a6243691485963cd16ac0473f65
"MANAGER, CIVIL ENGINEERING",Engineering,"Planning, Dev & Transportation",98299.50,313,4fd2682b89f9e3100899657ee2d2a151719d7aff
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98293.30,314,f10b4b1218bd9e83472b70015804dd6a761068a9
POLICE OFFICER,Patrol,Police Services,98247.54,315,0417800b1448411ff659c2533287152807d1991b
INTERIM CHIEF OF POLICE-INACTI,Police Administration,Police Services,98216.07,316,297ffa274cf427367adc3b52553bdfdfd953e2d4
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,98207.63,317,5726ef8e567a9dd98613655351a2a8309584bbf4
CIVIL ENGINEER II,Ut Water UTL Engineering Div,Utility Services,98065.20,318,f1057b37eedd40f9817d1a8ac8735655c4e70fa6
FINANCE OFFICER,Library District,Library District,97978.64,319,f3bb84324d3fecf7cb0fec0a0989223e5b74d102
"SR SUPERVISOR, ELECTRIC DIST",Ut Standards Engineering Div,Utility Services,97896.16,320,5e87d0ea8c65c381878311cf15b0edb88380ac05
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,97869.78,321,68a01b8120173881f1c5cd183d714c3c776a5eb9
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,97775.65,322,b493cd088a200f6074cb2ef6413f7aa5b152344b
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,97690.59,323,4adffccb5304c608e794600a73770fa4a5641699
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,97673.59,324,da737444485ecba0b7522424a5d9f9909e9e43ba
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,97669.31,325,02be3b1798902b38515e5561b8cf584c2362ca3d
POLICE OFFICER,Investigations,Police Services,97638.89,326,9c53377cd0998273c98446dc764f0dc781fdc05d
POLICE OFFICER,Investigations,Police Services,97612.92,327,ee0ffbd63b203b7880de87d9ab480c1134c92288
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,97591.18,328,9d097cf588df14b3f1b76842383413a44dbe7b97
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,97578.32,329,b5fd932ee68beea3ec7dea1dfcfe29cd544d9df8
"SR ENGINEER, SYSTEMS",Information Technology,Information & Employee Svcs,97515.07,330,ce8414ebf959fa542c87ccbb0e2e42c4cd92ce83
POLICE OFFICER,Community and Special Services,Police Services,97420.17,331,669ab91732bfde9c3497d04e8db85939726c2a0d
"DIRECTOR, COMMUNICATIONS",Comm. & Public Involvement,Information & Employee Svcs,97407.84,332,65043e37587767593353c8e66de3255eef4b2ed7
POLICE OFFICER,Community and Special Services,Police Services,97380.21,333,7da3f175dab6d6833cf18b5440f380aa03d05e4c
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,97355.96,334,51c52f5805b05b3196906c3567930c941458bbfb
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,97334.06,335,6e1d0fdc0785dfd26c7269f1ea462e7ae5ceb641
POLICE PSYCHOLOGIST,Police Administration,Police Services,97308.02,336,0a6d70cbc8799ac89e53a2d19c758c6e51ad78ad
POLICE OFFICER,Patrol,Police Services,97278.50,337,a636d3db7d403ee834c9d1d31280c1f8aa041df5
POLICE OFFICER,Community and Special Services,Police Services,97261.50,338,216a62545fa9b22a7d06eea5078f43d64a303c0d
"SR ANALYST, SYSTEMS",Information Technology,Information & Employee Svcs,97150.86,339,d7c55d5ba8a0568b26b4badf40268a29242c3902
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,96924.75,340,31575a17db92b388e5b3d67a2955d85634e9e3e0
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,96897.06,341,1e3bbb411cdeb05f3de077509adfdc6588a71cf6
POLICE OFFICER,Patrol,Police Services,96746.82,342,7856f86a20fa45554ac21492570b3a5e934067a9
POLICE OFFICER,Patrol,Police Services,96677.47,343,46e764b31df027c072566a736b2a51ba6d8c73a1
CIVIL ENGINEER III,Engineering,"Planning, Dev & Transportation",96644.79,344,9a6cd34aa99ee32d18db2eb09b5c7008634118a9
POLICE OFFICER,Patrol,Police Services,96591.36,345,e03cb0b5f6e1313b61b667bf51ad7b7c20844bc2
"MANAGER, WATER FIELD OPS",Ut Collection System Div,Utility Services,96546.88,346,5d72a7c8c87eaac9d70d11e87eb01e242911ff63
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,96524.97,347,5a6cd7f99db90247c7be60c5930c19c3eb9b4982
CIVIL ENGINEER II,Ut Enviro Regulatory Affairs,Utility Services,96408.48,348,dd470a3bc2975f03890f1d0cdf422bb335fb93b9
POLICE OFFICER,Community and Special Services,Police Services,96389.12,349,43c142a40051ba705925ece3881bfc714fb98a8b
POLICE CORPORAL,Patrol,Police Services,96379.52,350,24fd5a58f59c5cf42f8bfdd0690af29bbef86605
"SR ANALYST, APPS SOFTWARE",Ut Smart Grid & System Ops Div,Utility Services,96315.00,351,a8873b23b181f09e21922625b0eb35ae8c74a466
"SR MANAGER, BLDG & DEV REVIEW",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",96274.38,352,6f49bab693af0f5d8f2ae140be0339927346a5d5
POLICE OFFICER,Investigations,Police Services,96223.75,353,b6f0ab1123f97a6da9d2bf6e38227b499d50a939
POLICE OFFICER,Community and Special Services,Police Services,96053.75,354,3754ce7779e08492ab6ada1a202c3b80e8a82e57
"MANAGER, APPLICATIONS SOFTWARE",Information Technology,Information & Employee Svcs,96019.29,355,c4348a678de6c3cebf543a1d2e78ebf82c42e6b4
POLICE OFFICER,Patrol,Police Services,95930.77,356,1ff2317cb86595f578efc3da402494d84d571d62
CIVIL ENGINEER III,Ut Water UTL Engineering Div,Utility Services,95918.12,357,39f4ceb754250a9cc5ab7819808261ce9af336bb
POLICE OFFICER,Patrol,Police Services,95792.10,358,d77bc2d9de666e31201edb678c98c4c8e56c66d5
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,95779.56,359,b48db2bae0475a868bfde7154ae3d19451a0442f
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,95676.80,360,580211bc4233df668f2a1d3383c3ca7ee6bed10a
"SR MANAGER, TRANSPORTATION PLN",FC Moves,"Planning, Dev & Transportation",95655.40,361,6503b0584c1598ce5cba192fe52a7eb9bddf4e80
SPECIAL SVCS SPRVSR-INACTIVE,Electric Field Services,Utility Services,95605.01,362,4ea9e19231c040ae63ad924a204d48e0e8d29e34
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,95591.66,363,75106acf3ed8e996dd78d2de69373f23fd0f634d
CIVIL ENGINEER II,Engineering,"Planning, Dev & Transportation",95556.93,364,27bfaf978a37b305af8f67ef6cb60b5fa2a03746
FIREFIGHTER 40 HOUR (SPECIAL),Poudre Fire Authority,Poudre Fire Authority,95360.00,365,53e2c871d419be2bc11826f6ec007f622aaed05a
"MANAGER, PLANT OPERATIONS",Ut Water Production Div,Utility Services,95329.50,366,774e07eafa1db7d7b36630ecb4570280f4f1564c
"MANAGER, APPLICATIONS SOFTWARE",Information Technology,Information & Employee Svcs,95280.81,367,765aee92082bd39474bd5e8912149c54878713fa
WATER ENGINEER II,Ut Water Resources Div,Utility Services,95277.17,368,afb5510815df0885afb01723c65752ca1a8c3a7c
"CREW CHIEF, TRANSPORTATION OPS",Streets,"Planning, Dev & Transportation",95243.07,369,ec44ddf8c9a58b6dc56200d04e224b7a9399803a
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,95224.64,370,c36c5f2e794b328967078bde51fb65942e361b05
"SR MANAGER, ENV SUSTAIN",Environmental Services,Sustainability Services,95190.19,371,9ff5eab4d1a8837b9655cb5c50a260ff4ca4e95f
POLICE OFFICER,Patrol,Police Services,95183.47,372,aa06d7255e62ca7118e9f6709e5885d7be8bdebb
"SR SPECIALIST, SCIENCES",Ut Enviro Regulatory Affairs,Utility Services,95181.17,373,b59b99c461af37fd892c014df5fd377554901c4f
SUBSTATION SPECIALIST,Ut Elec System Design & IT Div,Utility Services,95132.70,374,b185fbd1f5a5c2ac71eb660480df22735d157a08
POLICE OFFICER,Patrol,Police Services,95034.83,375,5e4ff4bee61d28d6f1f759dba991364ea0206d80
POLICE OFFICER,Investigations,Police Services,94987.47,376,95ef5996eb4b98baec04f69fd5e8b37e435fe6b6
POLICE OFFICER,Police Administration,Police Services,94980.91,377,a1127aab8c5783065160922259aec5fc69f258ff
POLICE OFFICER,Community and Special Services,Police Services,94958.58,378,c0f018ceb7899aac3bc3def387d5efafc7a9bc2d
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,94887.28,379,d5fe5bb45b17fdc36e8edeeb9420ace714595d9a
MECHANICAL ENGINEER III,Utilities Customer Connections,Utility Services,94805.06,380,77162d8e7dd4b6fa46e7cb39ff5e3ab06d393b01
CIVIL ENGINEER III,Ut Water UTL Engineering Div,Utility Services,94734.95,381,8f270917499592674ea9bbe864a0b896c0128af7
POLICE OFFICER,Investigations,Police Services,94666.79,382,3321da8c1993b75d31c4ef5524a499de12fba075
POLICE OFFICER,Patrol,Police Services,94624.14,383,9328ebc54e3d21afc90c3f200f29991ec766637a
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,94586.05,384,754850920755791d34f76e0aa3acc6f9380b1569
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,94475.99,385,2a2d0bababafa0168a0ab2535db1dd3610e9c65e
